ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcnkurd,Northern Kurdish,Eurasia,37.0,43.0,nort2641,,"Indo-European, Iranian, Northwestern",eastern Turkey; northern Iraq; western Iran,"Northern Kurmanji, Erzurum and Muş"
en,English,,,,stan1293,,,,
